Elaphe,obsoleta,obsoleta,Black rat snake
Crotalus,molossus,,Black-tailed Rattlesnake
Crotalus,molossus,,Black-tailed Rattlesnake
Terrapene,carolina,carolina,Box turtle
Eumeces,laticeps,,Broadhead skink
Cnemidophorus,grahmii,,Checkered Whiptail
Cnemidophorus,exanguis,,Chihuahuan Spotted Whiptail
Sceloporus,clarki,,Clark's spiny lizard
Masticophis,flagellum,,Coachwhip
Lampropeltis,triangulum,temporalis,Coastal plain kingsnake
Agkistrodon,contortrix,,Copperhead
Scaphiopus,couchii,,Couch's Spadefoot
Storeria,dekayi,dekayi,Dekay's (northern brown) snake
Cnemidophorus,uniparens,,Desert Grassland Whiptail
Sceloporus,magister,,Desert Spiny Lizard
Elaphe,guttata,,Eastern corn snake
Sceloporus,undulatus,,Eastern Fence Lizard
Sceloporus,undulatus,,Eastern fence lizard
Sceloporus,undulatus,,Eastern Fence Lizard
Thamnophis,sirtalis,sirtalis,Eastern garter snake
Heterodon,platirhinos,,Eastern hognose snake
Lampropeltis,getula,getula,Eastern kingsnake
Kinosternon,subrubrum,,Eastern mud turtle
Chrysemys,picta,picta,Eastern painted turtle
Pseudemys,rubriventris,,Eastern redbellied turtle
Thamnophis,sauritus,sauritus,Eastern ribbon snake
Virginia,valeriae,valeriae,Eastern smooth earth snake
Scaphiopus,holbrookii,,Eastern spadefoot toad
Carphophis,amoenus,amoenus,Eastern worm snake
Eumeces,fasciatus,,Five-lined skink
Holoderma,suspectum,,gila monster
Pituophis,melanoleucus,,Gopher Snake
Pituophis,catenifer,,gopher snake
Bufo,cognatus,,Great Plains Toad
Cophosaurus,texanus,,Greater Earless Lizard
Bufo,debilis,,Green Toad
Scinella,lateralis,,Ground skink
Holbrookia,maculata,,Lesser Earless Lizard
Cnemidophorus,inornatus,,Little Striped Whiptail
Lampropeltis,calligaster,rhombomaculata,Mole kingsnake
Spea,multiplicata,,New Mexico Spadefoot
Cnemidophorus,neomexicanus,,New Mexico Whiptail
Coluber,constrictor,constrictor,Northern black racer
Malaclemys,terrapin,terrapin,Northern diamondback terrapin
Storeria,occipitomaculata,,Northern redbelly snake
Cemophora,coccinea,copei,Northern scarlet snake
Nerodia,sipedon,sipedon,Northern water snake
Terrapene,ornata,,Ornate Box Turtle
Spea,bombifrons,,Plains Spadefoot
Regina,septemvittata,,Queen snake
Trachemys,scripta,elegans,Red-eared slider
Bufo,punctatus,,Red-spotted Toad
Nerodia,erythrogaster,erythrogaster,Redbelly water snake
Diadophis,punctatus,,Ringneck snake
Crotalus,lepidus,,Rock Rattlesnake
Opheodrys,aestivus,,Rough green snake
Phrynosoma,modestum,,Roundtail Horned Lizard
Phrynosoma,douglassi,,Short-horned lizard 
Uta,stansburiana,,Side-blotched Lizard
Cnemidophorus,sexlineatus,,Six-lined racerunner
Chelydra,serpentina,serpentina,Snapping turtle
Masticophis,bilineatus,,Sonora whipsnake
Kinosternon,sonoriense,,Sonoran Mud Turtle
Clemmys,guttata,,Spotted turtle
Cnemidophorus,sacki,,spotted whiptail
Stenothernus,odoratus,,Stinkpot (musk turtle)
Masticophis,taeniatus,,striped whipsnake
Phrynosoma,cornutum,,Texas Horned Lizard
Ambystoma,tigrinum,,Tiger Salamander
Urosaurus,ornatus,,Tree Lizard
Crotalus,atrox,,Western Diamondback Rattlesnake
Crotalus,viridis,,western rattlesnake
Cnemidophorus,tigris,,Western Whiptail
Bufo,woodhousei,,Woodhouse's Toad
