Hypoponera,opacior
Acanthostichus,punctiscapus
Cerapachys,davisi
Neivamyrmex,fallax
Neivamyrmex,harrisii
Neivamyrmex,macropterus
Neivamyrmex,minor
Neivamyrmex,nigrescens
Neivamyrmex,swainsonii
Neivamyrmex,texanus
Aphaenogaster,cockerelli
Aphaenogaster,punctaticeps
Crematogaster,californica
Crematogaster,cerasi
Crematogaster,depilis
Crematogaster,hespera
Crematogaster,larreae
Crematogaster,opuntiae
Crematogaster,punctulata
Cyphomyrmex,wheeleri
Monomorium,cyaneum
Monomorium,minimum
Pheidole,cerebrosior
Pheidole,desertorum
Pheidole,hyatti
Pheidole,militicida
Pheidole,obtusospinosa
Pheidole,rugulosa
Pheidole,sciophila
Pheidole,tepicana
Pheidole,tetra
Pheidole,tucsonica
Pheidole,xerophila
Pogonomyrmex,apache
Pogonomyrmex,barbatus
Pogonomyrmex,californicus
Pogonomyrmex,desertorum
Pogonomyrmex,imberbiculus
Pogonomyrmex,maricopa
Pogonomyrmex,rugosus
Pogonomyrmex,texanus
Rogeria,foreli
Solenopsis,amblychila
Solenopsis,aurea
Solenopsis,krockowi
Solenopsis,pergandei
Solenopsis,xyloni
Solenopsis,sp.
Temnothorax,bestelmeyeri
Temnothorax,colleenae
Temnothorax,neomexicanus
Temnothorax,olbiquicanthus
Temnothorax,pergandei
Tetramorium,hispidum
Trachymyrmex,smithi
Tranopelta,sp.
Dorymyrmex,bicolor
Dorymyrmex,flavus
Dorymyrmex,insanus
Forelius,mccooki
Forelius,pruinosus
Liometopum,apiculatum
Brachymyrmex,depilis
Camponotus,festinatus
Camponotus,ulcerosus,
Formica,perpilosa,
Myrmecocystus,depilis,
Myrmecocystus,mexicanus,
Myrmecocystus,mimicus,
Myrmecocystus,navajo,
Myrmecocystus,placodops,
Myrmecocystus,romainei,
Paratrechina,terricola,
Paratrechina,vividula,
Eleodes,carbonarius,
Eleodes,extricatus,
Eleodes,hispilabris,convexus
Eleodes,longicollis,
Eleodes,caudiferus,
Embaphion,planum,
Eusattus,subnitens,
Eusattus,reticulatus,
Glyptasida,sordida,
Eburia,haldemani,
Derobrachus,geminatus,
Prionus,californicus,
Aneflomorpha,rectilinea,rectilinea
Eustromula,validum,
Taranomis,bivittata,bivittata
Stenaspis,solitaria,
Tragidion,auripenne,
Pliomona,suturalis,
Tylosis,maculatus,
Crossidius,pulchellus,
Crossidius,suturalis,
Moneilema,armatum,
Oncideres,rhodostica
Coenopoeus,palmeri
Valenus,inornatus
Dectes,texanus
Streptocephalus,texanus
Streptoaephalus,sp.
Thamnocephalus,platyurus
Eulimnadia,sp.
Apus,longicaudatus
Callibaetis,sp.
Gerris,sp.
Buenoa,margaritacea
Buenoa,sp.
Notonecta,undulata
Ranatra,sp.
Corisella,edulis
Sigara,alternata
Eretes,sticticus
Thermonectus,nigrofasciatus
Laccophilus,fasciatus
Laccophilus,vacaensis
Hygrotus,nubilus
Hygrotus,collatus
Hydrophilus,triangularis
Tropisternis ,lateralis  
Tropisternis ,sp.
Berosus,miles
Aedes,sp.
Psorophora,signipennis
Culex,tarsalis
Pasimachus,duplicatus
Tetragonoderus,pallidus
Ceuthophilus,sp.
Gryllus,sp.
Canthon,puncticollis
Diplotaxis,sp.
Trox,sp.
Araeoschizus,decipiens
Eleodes,extricatus
Eleodes,gracilis
Eleodes,hispilabrus
Ablautus,flavipes
Ablautus,rufotibialis
Ablautus,rufotibialis
Cerotainiops,abdominalis
Cerotainiops,lucyae
Dicropaltum,mesae
Efferia,apache
Efferia,benedicti
Efferia,bicolor
Efferia,cressoni
Efferia,helenae
Efferia,kelloggi
Efferia,luna
Efferia,mortensoni
Efferia,ordwayae
Efferia,pallidula
Efferia,pilosa
Efferia,subarida
Efferia,tuberculata
Efferia,tucsoni 
Efferia,varipes
Heteropogon,cazieri
Heteropogon,johnsoni
Leptogaster,hesperis,
Leptogaster,patula,
Machimus,erythocenemius,nr
Mallophora,fautrix,
Megaphorus,lascrucensis,
Megaphorus,prudens,
Megaphorus,pulchrus,
Metapogon,punctipennis,
Omninablautus,arenosus,
Polacantha,composita,
Proctacanathella,leucopogon,
Proctacanthus,nearno,
Proctacanthus,nigrofemoratus,
Promachus,giganteus,
Promachus,nigrialbus,
Psilocurus,sp.,
Regasilus,blantoni,
Saropogon,coquillettii,
Scleropogon,duncani,
Scleropogon,indistinctus,
Scleropogon,picticornis,
Stichopogon,fragilis,
Wilcoxia,martinorum,nr.
Gnathamitermes,perplexus,
Tenuirostritermes,tenuirostris,
Tenuirostritermes,nasuti,
Pogonomyrmex,barbatus,
Novomessor,cockerelli,
Peritapnia,fabra,
Taeniopoda,eques,
