Amphibians,,,,,,
# specimens in UCONHM,observed in field,data base,genus,species,common name,notes
"26 lots of tadpoles, 3 adults",1,JORN,Bufo,punctatus,Red-spotted Toad,museum specimens
,1,cwp,Bufo ,alvarius,Colorado River Toad,observed in field
"1 lot of tadpoles, 1 transform",1,cwp,Hyla,arenicolor,Canyon Treefrog,museum specimens
,1,cwp,Rana,chiricahuensis,Chiricahua leopard frog,observed in field
1 lot of tadpoles,1,JORN,Spea,multiplicata,New Mexico Spadefoot,museum specimens
,0,JORN,Ambystoma,tigrinum,Tiger Salamander,not documented
,1,JORN,Bufo,cognatus,Great Plains Toad,not documented
,0,JORN,Bufo,woodhousei,Woodhouse's Toad,not documented
,0,JORN,Bufo,debilis,Green Toad,not documented
,0,cwp,Rana,catesbeiana,Bullfrog,not documented
,0,cwp,Rana,yavapaiensis,Lowland Leopard Frog,not documented
,0,JORN,Scaphiopus,couchii,Couch's Spadefoot,not documented
,0,JORN,Spea,bombifrons,Plains Spadefoot,not documented
,,,,,,
"all of the undocumented amphibians are unlikely to occur in the study area because habitat, elevation, or geographic range",,,,,,
,,,,,,
,,,,,,
Reptiles,,,,,,
# specimens in UCONHM,observed in field,data base,genus,species,common name,notes
104,1,cwp,Kinosternon,sonoriense,Sonoran Mud Turtle,museum specimens
,1,JORN,Terrapene,ornata,Ornate Box Turtle,observed in field
,0,cwp,Kinosternon,flavescens,Yellow Mud Turtle,not documented
,,,,,,
3,1,JORN,Crotalus,atrox,Western Diamondback Rattlesnake,museum specimens
1,1,JORN,Crotalus,molossus,Black-tailed Rattlesnake,museum specimens
2,1,JORN,Crotalus,viridis,Prairie (Western) Rattlesnake,museum specimens
,1,cwp,Crotalus,willardi,Ridge-nosed rattlesnake,observed in field
,1,JORN,Crotalus,lepidus,Rock Rattlesnake,observed in field
1,1,JORN,Heterodon,nasicus,Western Hognose Snake,museum specimens
1,1,JORN,Hypsiglena,torquata,Night Snake,museum specimens
,1,cwp,Lampropeltis,pyromelana,Sonoran Mountain Kingsnake,observed in field
1,1,SRER,Masticophis,bilineatus,Sonoran whipsnake,museum specimens
,1,JORN,Masticophis,flagellum,Coachwhip,observed in field
3,1,JORN,Pituophis,melanoleucus,Gopher Snake,museum specimens
,1,cwp,Senticolis,triaspis,Green ratsnake,observed in field
1,1,cwp,Thamnophis,crytopsis,Blackneck garter snake,museum specimens
,,cwp,Crotalus,scutulatus,Mojave Rattlesnake,not documented
,,holycross,Sistrurus,catenatus,Massasauga,not documented
,,holycross,Micruroides,euryxanthus,Sonoran Coralsnake,not documented
,,cwp,Thamnophis,marcianus,Checkered Garter Snake,not documented
,,JORN,Arizona,elegans,Glossy Snake,not documented
,,SERC,Diadophis,punctatus,Ringneck snake,not documented
,,JORN,Lampropeltis,getula,Desert Kingsnake,not documented
,,cwp,Lampropeltis,triangulum,Milk Snake,not documented
,,JORN,Gyalopion,canum,Western Hook-nosed Snake,not documented
,,JORN,Leptotyphlops,humilis,Western Blind Snake,not documented
,,JORN,Leptotyphlops,dulcis,Texas Blind Snake,not documented
,,JORN,Masticophis,taeniatus,Desert Striped Whipsnake,not documented
,,JORN,Rhinocheilus,lecontei,Long-nosed Snake,not documented
,,JORN,Salvadora,hexalepis,Big Bend Patch-nosed Snake,not documented
,,cwp,Salvadora,grahamiae,Mountain Patch-nosed Snake,not documented
,,JORN,Sonora,semiannulata,Ground Snake,not documented
,,JORN,Tantilla,nigriceps,Plains Black-headed Snake,not documented
,,cwp,Tantilla,hobartsmithi,Southwestern Black-headed Snake,not documented
,,cwp,Tantilla,yaquia,Yaqui Black-headed Snake,not documented
,,JORN,Trimorphodon,biscutatus,Lyre Snake,not documented
,,,,,,
,,cwp,Aspidoscelis,burti,Canyon Spotted Whiptail,observed in field - based on checkmarks in the key to charlie
,?,JORN,Aspidoscelis,exanguis,Chihuahuan Spotted Whiptail,observed in field - based on checkmarks in the key to charlie
,?,JORN,Aspidoscelis,neomexicanus,New Mexico Whiptail,observed in field - based on checkmarks in the key to charlie
,,cwp,Aspidoscelis,sonorae,Sonoran Spotted Whiptail,observed in field - based on checkmarks in the key to charlie
,1,SRER,Holoderma,suspectum,gila monster,observed in field
,,cwp,Elgaria,kingii,Madrean Alligator Lizard,observed in field - 1 August 2006
,1,JORN,Phrynosoma,modestum,Roundtail Horned Lizard,observed in field - kjl recollection
,?,SRER,Phrynosoma,douglassi,Short-horned lizard ,"observed in field - May 2012 photo, August 2004 photo"
1,1,cwp,Sceloporus,virgatus,Striped Plateau Lizard,museum specimens
,1,SRER,Sceloporus,clarki,Clark's spiny lizard,observed in field
,1,JORN,Sceloporus,undulatus,Southern Prairie Lizard,observed in field
1,1,JORN,Urosaurus,ornatus,Tree Lizard,museum specimens
,1,JORN,Uta,stansburiana,Side-blotched Lizard,observed in field
,?,JORN,Sceloporus,magister,Desert Spiny Lizard,not documented
,,cwp,Sceloporus,poinsetti,Crevice Spiny Lizard,not documented
,,cwp,Sceloporus,scalaris,Bunch Grass Lizard,not documented
,,holycross,Sceloporus,jarrovii,Yarrow's Spiny Lizard,not documented
,,holycross,Sceloporus,cowlesi,Southwestern Fence Lizard,not documented
,?,JORN,Holbrookia,maculata,Lesser Earless Lizard,not documented
,,holycross,Holbrookia,elegans,Elegant Earless Lizard,not documented
,?,JORN,Cophosaurus,texanus,Greater Earless Lizard,not documented
,,cwp,Callisaurus,draconoides,Zebratail Lizard,not documented
,,JORN,Gambelia,wislizenii,Leopard Lizard,not documented
,,JORN,Crotaphytus,collaris,Collared Lizard,not documented
,,cwp,Coleonyx,variegatus,Western Banded Gecko,not documented
,,cwp,Aspidoscelis,dixoni,Gray-checkered Whiptail,not documented
,?,JORN,Aspidoscelis,inornatus,Little Striped Whiptail,not documented
,?,JORN,Aspidoscelis,tigris,Western Whiptail,not documented
,?,JORN,Aspidoscelis,uniparens,Desert Grassland Whiptail,not documented
,,JORN,Eumeces,obsoletus,Great Plains Skink,not documented
,,cwp,Eumeces,tetragrammus,Four-lined Skink,not documented
,?,JORN,Phrynosoma,cornutum,Texas Horned Lizard,not documented - though we've seen horned lizards
,,cwp,Phrynosoma,solare,Regal Horned Lizard,not documented - though we've seen horned lizards
,,,,,,
"many of the lizards, especially the whiptail and horned lizards, could be fleshed out using field notes and flicker photos and waypoints",,,,,,
I went through the range maps of Charlie and Brennan/Holycross and included all species in those books that came close to the Peloncillos,,,,,,
"some of the undocumented snakes and lizards are unlikely to occur based on habitat, elevation, or geographic range",,,,,,
