Genus,Species,Common Name
Falco ,sparverius,American Kestrel
Tyto ,alba,Barn Owl 
Hirundo ,rustica,Barn Swallow
Thryomanes ,bewickii,Bewick's Wren
Sayornis ,nigricans,Black Phoebe
Archilochus ,alexandri,Black-Chinned Hummingbird
Selaphorus ,platycercus,Broad-Tailed Hummingbird
Pipilo ,fuscus,Canyon Towhee
Catherpes ,mexicanus,Canyon Wren
Tyrannus ,vociferans,Cassin's Kingbird
Corvus ,cryptoleucus,Chihuahuan Raven
Chordeiles ,minor,Common Nighthawk
Phalaenoptilus ,nuttallii,Common Poorwill
Empidonax ,oberholseri,Dusky Flycatcher
Callipepla ,gambelii,Gambel's Quail
Empidonax ,wrightii,Gray Flycatcher
Bubo ,virginianus,Great Horned Owl
Quiscalus ,mexicanus,Great-Tailed Grackle
Carpodacus ,mexicanus,House Finch
Troglodytes ,aedon,House Wren
Charadrius ,vociferus,Killdeer
Chondestes ,grammacus,Lark Sparrow
Carduelis ,psaltria,Lesser Goldfinch
Zenaida ,macroura,Mourning Dove
Colaptes ,auratus,Northern Flicker
Mimus ,polyglottos,Northern Mockingbird
Vermivora ,celata,Orange-Crowned Warbler
Falco ,mexicanus,Prairie Falcon
Salpinctes ,obsoletus,Rock Wren
Aimophila ,ruficeps,Rufous-Crowned Sparrow
Selasphorus ,rufus,Rufous Hummingbird
Callipepla ,squamata,Scaled Quail
Aphelocoma ,californica,Western Scrub Jay
Buteo ,swainsoni,Swainson's Hawk
Tachycineta ,bicolor,Tree Swallow
Cathartes ,aura,Turkey Vulture
Tyrannus ,verticalis,Western Kingbird
Contopus ,sordidulus,Western Wood-Pewee
Zenaida ,asiatica,White-Winged Dove
Wilsonia ,pusilla,Wilson's Warbler
Dendrocopus,scalaris,ladder-backed woodpecker
Myiarchus,cinerascens,ash-throated flycatcher
Corvus,corax,common raven
Amphispiza,bilineata,blackthroated sparrow
Buteo ,albonotatus,Zone-tailed Hawk
Streptopelia ,decaocto,Eurasian Collared-Dove
Calothorax ,lucifer,Lucifer Hummingbird
Stellula ,calliope,Calliope Hummingbird
Melanerpes ,formicivorus,Acorn Woodpecker
Empidonax ,traillii,Willow Flycatcher
Aphelocoma ,wollweberi,Mexican Jay
Baeolophus ,wollweberi,Bridled Titmouse
Baeolophus ,ridgwayi,Juniper Titmouse
Psaltriparus ,minimus,Bushtit
Sitta ,carolinensis,White-breasted Nuthatch
Passerina ,amoena,Lazuli Bunting
Picoides ,arizonae,Arizona Woodpecker
