Notiosorex,crawfordi,Desert shrew                  
Sylvilagus,audubonii,Desert cottontail             
Lepus,californicus,Black-tailed jackrabbit       
Canis,latrans,Coyote                        
Bassariscus,astutus,Ringtail                      
Antilocapra,americana,Pronghorn                     
Lepus,californicus,black tailed jackrabbit
Lepus,alleni,antelope jackrabbit
Bassariscus,astutus,Ringtail                      
Mephitis,mephitis,common stiped skunk
Odocoileus,virginianus,white-tailed deer
Ursus ,americanus,Black bear
Nasua ,narica,White-nosed Coati 
Puma ,concolor,Mountain Lion
